No.,Product,Link,Price
81,Elbbin P/Chipsticks Salt&Vinegar 30G,https://naivas.onlinehttps://naivas.online/elbbin-potato-chipsticks-salt-vinegar-30g,KES 50
82,Manji Nice Budget Pack 1Kg,https://naivas.onlinehttps://naivas.online/manji-nice-budget-pack-1kg,KES 500
83,Nuvita Digestive Biscuit 1Kg,https://naivas.onlinehttps://naivas.online/nuvita-digestive-biscuit-1kg,KES 525
84,Wow Sugared 100g,https://naivas.onlinehttps://naivas.online/wow-sugared-100g,KES 72
85,Cadbury Cashew+ Coconut 80g,https://naivas.onlinehttps://naivas.online/cadbury-cashew--coconut-80g,KES 290
86,Cadbury Oreo Original 52.5g,https://naivas.onlinehttps://naivas.online/cadbury-oreo-original-152g,KES 69
87,Oreo Golden Slug 128g,https://naivas.onlinehttps://naivas.online/oreo-golden-cream-152g,KES 175
88,Oreo Cookies Choco Creme 137g,https://naivas.onlinehttps://naivas.online/oreo-cookies-choco-creme-137g,KES 175
89,Nuvita Vitamilk Biscuit 60x5,https://naivas.onlinehttps://naivas.online/nuvita-vitamilk-biscuit-60*5,KES 290
90,Nuvita Sunbix Biscuit 60x5,https://naivas.onlinehttps://naivas.online/nuvita-sunbix-biscuit-60*5,KES 290
91,Nuvita Short Bread Regular 200g,https://naivas.onlinehttps://naivas.online/nuvita-short-bread-regular-200g,KES 180
92,Nuvita Secrets Original Creams 30G,https://naivas.onlinehttps://naivas.online/nuvita-secrets-original-40g,KES 25
93,Nuvita Secrets Coconut Creams 30G,https://naivas.onlinehttps://naivas.online/nuvita-secrets-coconut-40g,KES 25
94,Nuvita Bravoglucose Biscuits 60*5 Pieces,https://naivas.onlinehttps://naivas.online/nuvita-bravoglucose-biscuits-60*5-pieces,KES 290
95,Manji Chocolate Digestive 150g,https://naivas.onlinehttps://naivas.online/manji-chocolate-digestive-150g,KES 270
96,Manji Bourbon Choco Cream 200g,https://naivas.onlinehttps://naivas.online/manji-bourbon-choco-cream-200g,KES 185
97,Manji Assorted Cream Biscuit 160g,https://naivas.onlinehttps://naivas.online/manji-assorted-cream-biscuit-160g,KES 190
98,Tropical H/Chilli Lemon Crisps 20G,https://naivas.onlinehttps://naivas.online/tropical-heat-waves-masala-30g,KES 30
99,Fresh N Crunchy F/Peanut 50Gm,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-fried-peanut-50g,KES 30
100,Fresh N Crunchy Simsim Crunchy 80g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-simsim-crunchy-80g,KES 90
101,Fresh N Crunchy Simsim Bite 80g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-simsim-bite-80g,KES 90
102,Fresh N Crunchy Sim Sim Bites 160g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-sim-sim-bites-160g,KES 180
103,Fresh N Crunchy Ganthia Sticks 200g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-ganthia-sticks-200g,KES 120
104,Fresh N Crunchy Ganthia 50Gm,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-ganthia-50g,KES 35
105,Fresh N Crunchy Roasted Peanuts 400g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-roasted-peanuts-400g,KES 210
106,Fresh N Crunchy Fried Peanut 200g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-fried-peanut-200g,KES 110
107,Urban Bites Funky Funky Chutny 120g,https://naivas.onlinehttps://naivas.online/urban-bites-funky-funky-chutny-120g,KES 195
108,Tropnuts Fried Peanuts 50G,https://naivas.onlinehttps://naivas.online/tropical-heat-peanuts-fried-70g,KES 60
109,Tropical Heat Peanuts Roasted 200g,https://naivas.onlinehttps://naivas.online/tropical-heat-peanuts-roasted-200g,KES 170
110,Fresh N Crunchy Fur Fur 200g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-fur-fur-200g,KES 110
111,Fresh N Crunchy Fryums 100Gm,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-fur-fur-100g,KES 60
112,Fresh N Crunchy Coated Peanuts 400g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-coated-peanuts-400g,KES 225
113,Fresh N Crunchy Coated Peanuts 200g,https://naivas.onlinehttps://naivas.online/fresh-n-crunchy-coated-peanuts-200g,KES 120
114,Dairyland Real Milk Chocolate 80g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-real-milk-90g,KES 189
115,Dairyland Chocolart Orange Crunch 80g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-orange-crunch-90g,KES 189
116,Dairyland Chocolart Mint Crunch 80g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-mint-crunch-90g,KES 189
117,Dairyland Chocolart Almond & Raisin 80g,https://naivas.onlinehttps://naivas.online/dairyland-chocolart-almond-raisin-90g,KES 189
118,Hom Family Biscuits 80G,https://naivas.onlinehttps://naivas.online/manji-family-biscuits-100g,KES 47
119,McVitie's Digestive 400g,https://naivas.onlinehttps://naivas.online/mcvitie-s-digestive-400g,KES 359
120,Nuvita Oat Digestive Chocolate 200g,https://naivas.onlinehttps://naivas.online/nuvita-oat-digestive-chocolate-200g,KES 270
121,Nuvita Digestive Chocolate 200g,https://naivas.onlinehttps://naivas.online/nuvita-digestive-chocolate-200g,KES 215
122,McVitie's Digestive 250g,https://naivas.onlinehttps://naivas.online/mcvities-digestive-250g,KES 249
123,Wow Salted 100g,https://naivas.onlinehttps://naivas.online/wow-salted-100g,KES 57
124,Wow Cheese&Onion 100g,https://naivas.onlinehttps://naivas.online/wow-cheeseonion-100g,KES 72
125,Urban Bites Trendy Tomato 30G,https://naivas.onlinehttps://naivas.online/urban-bites-trendy-tomato-30g,KES 58
126,Tropical Heroes S/Chilli Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-sweet-chilli-crisps-40-g,KES 60
127,Tropical Heroes S/Vinegar Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-salted-vinegar-crisps-40-g,KES 60
