name,url,price,category,store,date
Fresh Merino Lamb Neck,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-neck-pkg/p/29648,549,local-arabic-lamb,Carrefour,2025-08-06
Fresh Lamb Leg Bone In,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-leg-b-in-pkg/p/29652,1498,locally-slaughtered-lamb,Carrefour,2025-08-06
Fresh Goat Shank,https://www.carrefour.ke/mafken/en/goat/fresh-goat-shank-pkg/p/29715,374,goat,Carrefour,2025-08-06
Dryaged Merino Lamb Forequarter,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-forequarter/p/29565,649,local-arabic-lamb,Carrefour,2025-08-06
Dryaged Merino Lamb Rack,https://www.carrefour.ke/mafken/en/local-arabic-lamb/merino-lamb-rack-pkg/p/29651,999,local-arabic-lamb,Carrefour,2025-08-06
Fresh Lamb Carcass 1315Kg,https://www.carrefour.ke/mafken/en/locally-slaughtered-lamb/fresh-lamb-carcass-13-15kg/p/100539,13999,locally-slaughtered-lamb,Carrefour,2025-08-06
Fresh Goat Carcass,https://www.carrefour.ke/mafken/en/goat/fresh-goat-carcass-pkg/p/98512,8990,goat,Carrefour,2025-08-06
Fresh Goat Liver,https://www.carrefour.ke/mafken/en/lamb-offals/fresh-goat-liver-pkg/p/3751,499,lamb-offals,Carrefour,2025-08-06
Fresh Beef Tail,https://www.carrefour.ke/mafken/en/beef-offals/fresh-beef-tail-pkg/p/29626,349,beef-offals,Carrefour,2025-08-06
Fresh Goat Liver  Pre Pack,https://www.carrefour.ke/mafken/en/lamb-offals/fresh-goat-liver-pp/p/3750,499,lamb-offals,Carrefour,2025-08-06
Fresh Turkey Whole,https://www.carrefour.ke/mafken/en/whole-turkey/fresh-turkey-whole-pkg/p/29729,9594,whole-turkey,Carrefour,2025-08-06
Fresh Salmon Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-fillet-pkg/p/181164,2849,fish,Carrefour,2025-08-06
Fresh Tilapia Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-tilapia-fillet-wild-pkg/p/181186,999,fish,Carrefour,2025-08-06
Fresh Nile Perch Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-fillet-pkg/p/181184,999,fish,Carrefour,2025-08-06
Fresh Nile Perch Steak,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-steak-pkg/p/181185,799,fish,Carrefour,2025-08-06
FROZEN COOKED TILAPIA 300GR,https://www.carrefour.ke/mafken/en/fish/frozen-cooked-tilapia-300gr/p/225264,459,fish,Carrefour,2025-08-06
Fresh Salmon Steak,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-steak-pkg/p/181165,2699,fish,Carrefour,2025-08-06
